ObjectName,HoopNumber,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Point1x,Point1y,Point2x,Point2y,RotatedPoint1x,RotatedPoint1y,RotatedPoint2x,RotatedPoint2y,Direction
RoundGate 0,1,-283.1373,291.91,-84.56061,0,1.04719755498104,0,-277.075122160263,-81.0606100229419,-289.199477839737,-88.060609977058,-286.637299977058,-78.4984321602634,-279.637300022942,-90.6227878397366,R
RoundGate 1,2,-295.2489,295.33,-14.02075,0,0.785398051940941,0,-290.299153083376,-9.07100198001263,-300.198646916624,-18.9704980199874,-300.198648019987,-9.07100308337576,-290.299151980013,-18.9704969166242,L
RoundGate 2,3,-344.01,315.2273,67.889,0,1.5707963267949,0,-337.01,67.889,-351.01,67.889,-344.01,74.889,-344.01,60.889,S
RoundGate 3,4,-381.3558,322.8056,123.2565,0,1.30899682027063,0,-374.594319431075,125.068234118475,-388.117280568925,121.444765881525,-383.167534118475,130.017980568925,-379.544065881525,116.495019431075,L
RoundGate 4,5,-438.7162,346.57,179.1758,3.14159265358979,1.39626331362999,3.14159265358979,-431.82254583584,180.391337850072,-445.60985416416,177.960262149928,-439.931737850072,186.06945416416,-437.500662149928,172.28214583584,S
RoundGate 5,6,-499.308,351.37,228.7587,3.14159265358979,1.39626344218751,3.14159265358979,-492.414345679573,229.974236963841,-506.201654320427,227.543163036159,-500.523536963841,235.652354320427,-498.092463036159,221.865045679573,R
RoundGate 6,7,-527.3981,349.15,304.3474,0,0.698131565186488,0,-522.898587459384,309.709711712017,-531.897612540616,298.985088287983,-532.760411712017,308.846912540616,-522.035788287983,299.847887459384,R
RoundGate 7,8,-507.6111,333.9828,361.0182,0,0.0371486161319025,0,-507.351119493075,368.013370486558,-507.871080506925,354.023029513441,-514.606270486559,361.278180506925,-500.615929513442,360.758219493075,R
RoundGate 8,9,-462.0995,322.34,373.2611,0,0.785398051940941,0,-457.149753083376,378.210848019987,-467.049246916624,368.311351980013,-467.049248019987,378.210846916624,-457.149751980013,368.311353083376,R
RoundGate 9,10,-408.814,338.9247,357.4822,0,1.48352976758455,0,-401.840637172299,358.092290872935,-415.787362827701,356.872109127065,-409.424090872935,364.455562827701,-408.203909127065,350.508837172299,R
RoundGate 10,11,-354.14,365.5256,288.189,0,1.5707963267949,0,-347.14,288.189,-361.14,288.189,-354.14,295.189,-354.14,281.189,L
RoundGate 11,12,-298.1084,345.9996,252.7766,0,0.872664599865823,0,-292.746089015745,257.27611340793,-303.470710984255,248.27708659207,-302.60791340793,258.138910984254,-293.60888659207,247.414289015745,L
RoundGate 12,13,-222.9535,337.54,248.3258,0,0.26179939314247,0,-221.141766648154,255.087280774343,-224.765233351846,241.564319225657,-229.714980774343,250.137533351846,-216.192019225657,246.514066648154,L
RoundGate 13,14,-164.3194,331.03,277.3267,0,0.174532999087973,0,-163.103862246969,284.220354181271,-165.534937753031,270.433045818729,-171.213054181271,278.542237753031,-157.425745818729,276.111162246969,S
RoundGate 14,15,-108.3135,335.29,307.4247,0,0.0371486161319025,0,-108.053519493075,314.419870486558,-108.573480506925,300.429529513441,-115.308670486558,307.684680506925,-101.318329513442,307.164719493075,S
RoundGate 15,16,-24.70687,346.7871,358.7099,0,0.0371486161319025,0,-24.4468894930748,365.705070486558,-24.9668505069252,351.714729513442,-31.7020404865585,358.969880506925,-17.7116995134415,358.449919493075,R
RoundGate 16,17,105.4894,312.0662,415.4872,0,0.52359889526031,0,108.989400725412,421.549377407674,101.989399274588,409.425022592326,99.427222592326,418.987200725412,111.551577407674,411.987199274588,R
RoundGate 17,18,201.6794,282.5825,411.2172,0,0.52359889526031,0,205.179400725412,417.279377407674,198.179399274588,405.155022592326,195.617222592326,414.717200725412,207.741577407674,407.717199274588,L
RoundGate 18,19,317.0376,279.724,422.5654,0,1.30899682027063,0,323.799080568925,424.377134118475,310.276119431075,420.753665881525,315.225865881525,429.326880568925,318.849334118475,415.803919431075,R
RoundGate 19,20,356.4684,255.7847,349.2641,0,0.785398051940941,0,361.418146916624,354.213848019987,351.518653083376,344.314351980013,351.518651980013,354.213846916624,361.418148019987,344.314353083376,R
RoundGate 20,21,344.2994,252.79,281.5937,0,0.174532999087973,0,345.514937753031,288.487354181271,343.083862246969,274.700045818729,337.405745818729,282.809237753031,351.193054181271,280.378162246969,R
