Timestamp	Lap_Number	Position(x)	Position(y)	Position(z)	Orientation(x)	Orientation(y)	Orientation(z)	Collision_Target	Path_Deviation	Estimated_Path_Center(x)	Estimated_Path_Center(y)	Estimated_Path_Center(z)	Gaze_Target	Gaze_Location(x)	Gaze_Location(y)	Gaze_Location(z)	Gaze_Through_Gate	Norm_Pos(x)	Norm_Pos(y)	Left_X	Left_Y	Right_X	Right_Y	FPS
1638917656020	0	-257.06000000	254.97000000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-243.2185	335.9174	-369.2194	NULL	0.4573	0.5875	0.0000	-0.0085	0.0000	0.0000	89.75291
1638917656031	0	-257.06000000	254.96670000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-246.8370	334.3618	-365.4800	NULL	0.4680	0.5860	0.0000	-0.0085	0.0000	0.0000	89.46985
1638917656053	0	-257.06000000	254.96000000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-246.8370	334.3618	-365.4800	NULL	0.4680	0.5860	0.0000	-0.0085	0.0000	0.0000	89.46985
1638917656065	0	-257.06000000	254.95010000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-248.1207	333.7295	-368.2908	NULL	0.4723	0.5778	0.0000	-0.0085	0.0000	0.0000	90.33302
1638917656087	0	-257.06000000	254.93700000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-247.8389	335.3462	-379.7656	NULL	0.4727	0.5670	0.0000	-0.0085	0.0000	0.0000	90.33302
1638917656098	0	-257.06000000	254.92080000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-247.8389	335.3462	-379.7656	NULL	0.4727	0.5670	0.0000	-0.0085	0.0000	0.0000	90.03616
1638917656120	0	-257.06000000	254.90150000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-249.3610	325.1951	-366.2327	NULL	0.4757	0.5362	0.0000	-0.0085	0.0000	0.0000	90.03616
1638917656131	0	-257.06000000	254.87920000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-249.6661	327.8451	-398.0825	NULL	0.4793	0.5039	0.0000	-0.0085	0.0000	0.0000	89.67243
1638917656154	0	-257.06000000	254.85410000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-251.5998	312.7546	-364.0991	NULL	0.4824	0.4715	0.0000	-0.0085	0.0000	0.0000	89.67243
1638917656165	0	-257.06000000	254.82630000	-128.89000000	0.00000000	180.00000000	0.00000000	NULL	4.5660	0.0000	0.0000	0.0000	_Sp_PW_Tree_Sequoia_01	-251.5998	312.7546	-364.0991	NULL	0.4824	0.4715	0.0000	-0.0085	0.0000	0.0000	89.39466
